Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Portal,To Do,Medium,13,Medium,Medium
Notification System,In Progress,High,19,Medium,Low
Change Management,To Do,Low,11,Medium,Low
Portal,To Do,Medium,20,High,Medium
Contract Documentation,To Do,Low,7,Low,Low
Data Management and Storage,In Progress,Medium,30,High,High
Project Management Information System (PMIS),To Do,Low,11,Medium,Low
Change Management,Completed,Medium,27,High,Low
Data Services & Management,To Do,High,11,Medium,Low
Contract Documentation,To Do,Medium,9,Low,Low
Portal,Completed,High,6,Low,Low
Customer Relationship Management (CRM),In Progress,High,1,Low,High
Business Continuity Plan (BCP),Completed,High,20,High,Low
Contract Documentation,In Progress,Low,24,High,Low
Audit and Compliance,In Progress,Medium,27,High,Low
Data Lake & Data Warehouse Operation,Completed,High,23,High,Low
Training Management,In Progress,Medium,12,Medium,Medium
Change Management,In Progress,High,16,Medium,Low
Data Lake & Data Warehouse Operation,To Do,Medium,3,Low,Low
Transfer of Knowledge (TOK),In Progress,Low,7,Low,High
Customer Relationship Management (CRM),In Progress,High,26,High,High
Portal,In Progress,Medium,28,High,Medium
Finalization and Integration,In Progress,Medium,11,Medium,Medium
Project Management,In Progress,High,30,High,Low
Data Services & Management,To Do,High,11,Medium,Medium
Customer Relationship Management (CRM),To Do,Medium,15,Medium,Medium
Project Management,To Do,Medium,2,Low,High
Human Resource Management (HRM),In Progress,High,2,Low,High
Payment Gateway Integration,Completed,Medium,7,Low,Low
Payment Gateway Integration,Completed,High,10,Medium,Low
Project Management Information System (PMIS),Completed,High,30,High,Low
Data Services & Management,Completed,High,23,High,Low
Inventory Management,In Progress,Low,2,Low,Low
Payment Gateway Integration,In Progress,Medium,1,Low,Low
Communication and Collaboration Tools,To Do,High,5,Low,High
Enterprise Architecture (EA),To Do,Medium,3,Low,Medium
Human Resource Management (HRM),Completed,Medium,29,High,Low
Project Closure Report,To Do,High,27,High,Low
Monitoring & Control Reports,To Do,Low,15,Medium,High
Reporting and Analytics,In Progress,High,6,Low,High
Transfer of Technology (TOT),To Do,Medium,6,Low,Low
Monitoring & Control Reports,In Progress,Low,13,Medium,High
Inventory Management,Completed,High,9,Low,Low
Project Management,Completed,High,4,Low,Low
User Interface and User Experience (UI/UX),In Progress,High,26,High,Low
Enterprise Architecture (EA),In Progress,High,6,Low,High
Reporting and Analytics,To Do,Low,30,High,Medium
User Authentication and Access Control,To Do,Low,27,High,High
Change Management,Completed,High,9,Low,Low
Contract Documentation,Completed,Medium,23,High,Low
Training Management,Completed,Low,3,Low,Low
Payment Gateway Integration,In Progress,High,21,High,Medium
Project Management Information System (PMIS),To Do,Medium,21,High,Low
Notification System,In Progress,High,18,Medium,Low
Payment Gateway Integration,Completed,Medium,29,High,Low
Training Management,To Do,Medium,3,Low,Low
User Authentication and Access Control,In Progress,High,13,Medium,Medium
User Authentication and Access Control,In Progress,High,11,Medium,Low
Customer Relationship Management (CRM),In Progress,Low,29,High,Medium
Audit and Compliance,In Progress,High,17,Medium,Low
Portal Learning Management System (LMS),In Progress,High,16,Medium,Low
Business Continuity Plan (BCP),In Progress,High,12,Medium,Low
Enterprise Architecture (EA),Completed,Low,19,Medium,Low
Portal Learning Management System (LMS),Completed,High,1,Low,Low
Project Closure Report,Completed,Medium,16,Medium,Low
Data Services & Management,In Progress,High,18,Medium,Medium
Office Renovation,In Progress,Low,13,Medium,Low
Customer Relationship Management (CRM),To Do,Low,18,Medium,Medium
User Authentication and Access Control,Completed,High,23,High,Low
Communication and Collaboration Tools,In Progress,Low,15,Medium,Low
Data Lake & Data Warehouse Operation,To Do,High,8,Low,High
Contract Documentation,Completed,Medium,12,Medium,Low
Transfer of Knowledge (TOK),To Do,Medium,30,High,Low
Data Services & Management,Completed,High,9,Low,Low
Management Plans,In Progress,Medium,2,Low,Medium
Finalization and Integration,To Do,Low,7,Low,Low
Payment Gateway Integration,Completed,High,14,Medium,Low
Change Management,To Do,High,14,Medium,Low
Customer Relationship Management (CRM),To Do,Low,16,Medium,Medium
Finalization and Integration,In Progress,Medium,6,Low,High
Customer Relationship Management (CRM),To Do,Medium,15,Medium,Medium
Management Plans,To Do,Medium,26,High,High
Office Renovation,Completed,Medium,20,High,Low
Transfer of Knowledge (TOK),To Do,Medium,10,Medium,Medium
Management Plans,In Progress,High,27,High,Medium
Business Continuity Plan (BCP),Completed,High,3,Low,Low
Training Management,In Progress,Medium,25,High,Low
Portal,In Progress,High,26,High,Low
Management Plans,Completed,Medium,8,Low,Low
Human Resource Management (HRM),Completed,Medium,7,Low,Low
Management Plans,To Do,Medium,16,Medium,Medium
Human Resource Management (HRM),Completed,Medium,16,Medium,Low
Transfer of Technology (TOT),Completed,Medium,27,High,Low
Project Management Information System (PMIS),To Do,Medium,27,High,Low
Contract Documentation,In Progress,Low,7,Low,Low
Transfer of Technology (TOT),To Do,High,10,Medium,Low
Management Plans,To Do,Medium,3,Low,Medium
Change Management,Completed,Low,16,Medium,Low
Data Management and Storage,To Do,High,17,Medium,Medium
Training Management,In Progress,High,19,Medium,Low
Inventory Management,To Do,Low,15,Medium,Medium
Change Management,To Do,High,8,Low,High
Business Continuity Plan (BCP),Completed,Medium,8,Low,Low
Communication and Collaboration Tools,Completed,High,23,High,Low
Certificate of Acceptance (CoA),In Progress,Medium,13,Medium,Medium
Audit and Compliance,To Do,Medium,19,Medium,Medium
Portal Learning Management System (LMS),Completed,High,19,Medium,Low
User Authentication and Access Control,Completed,High,9,Low,Low
Workflow Management,To Do,Medium,8,Low,Medium
Project Management,Completed,Medium,3,Low,Low
Training Management,In Progress,Low,14,Medium,Low
Training Management,In Progress,High,5,Low,High
Project Management,In Progress,High,22,High,High
Transfer of Knowledge (TOK),In Progress,Low,17,Medium,Low
Payment Gateway Integration,In Progress,High,22,High,Medium
Management Plans,In Progress,Low,10,Medium,Medium
Change Management,To Do,High,8,Low,High
Finalization and Integration,In Progress,High,30,High,Medium
Project Management,In Progress,Low,9,Low,Low
Communication and Collaboration Tools,To Do,Low,8,Low,Medium
Office Renovation,To Do,Medium,20,High,Low
Data Lake & Data Warehouse Operation,Completed,Medium,9,Low,Low
Office Renovation,To Do,Medium,15,Medium,Medium
Finalization and Integration,Completed,Low,5,Low,Low
Reporting and Analytics,Completed,Medium,17,Medium,Low
Project Closure Report,To Do,Low,24,High,Low
User Interface and User Experience (UI/UX),To Do,High,13,Medium,Low
Office Renovation,In Progress,Low,7,Low,Low
Management Plans,Completed,High,5,Low,Low
Portal,Completed,Medium,3,Low,Low
Portal Learning Management System (LMS),In Progress,Medium,5,Low,Low
Portal,In Progress,Medium,23,High,High
Data Management and Storage,In Progress,High,17,Medium,High
Inventory Management,Completed,High,17,Medium,Low
Transfer of Knowledge (TOK),In Progress,Low,28,High,Low
Audit and Compliance,To Do,High,16,Medium,Low
Customer Relationship Management (CRM),To Do,High,26,High,Medium
Portal Learning Management System (LMS),In Progress,Medium,13,Medium,Medium
Business Continuity Plan (BCP),To Do,Low,2,Low,Low
Training Management,Completed,Medium,26,High,Low
Business Continuity Plan (BCP),Completed,High,21,High,Low
Transfer of Knowledge (TOK),In Progress,Medium,20,High,High
Project Closure Report,Completed,Medium,5,Low,Low
User Authentication and Access Control,Completed,High,29,High,Low
Customer Relationship Management (CRM),Completed,High,13,Medium,Low
Transfer of Knowledge (TOK),In Progress,Low,15,Medium,High
Training Management,Completed,High,5,Low,Low
Transfer of Knowledge (TOK),In Progress,High,10,Medium,Low
User Authentication and Access Control,To Do,High,8,Low,High
Payment Gateway Integration,To Do,High,8,Low,High
Change Management,To Do,Medium,19,Medium,Medium
Office Renovation,To Do,Low,7,Low,Low
Data Services & Management,To Do,Medium,25,High,Medium
Notification System,To Do,Medium,12,Medium,Medium
Transfer of Knowledge (TOK),Completed,High,27,High,Low
Payment Gateway Integration,In Progress,High,11,Medium,Medium
Communication and Collaboration Tools,Completed,Medium,18,Medium,Low
Management Plans,Completed,Medium,4,Low,Low
Audit and Compliance,In Progress,High,19,Medium,Low
Project Management,In Progress,Medium,7,Low,High
Data Management and Storage,Completed,Low,1,Low,Low
Monitoring & Control Reports,In Progress,Low,1,Low,High
Project Closure Report,Completed,Low,22,High,Low
Workflow Management,Completed,High,29,High,Low
Project Management,To Do,High,27,High,Low
Data Lake & Data Warehouse Operation,In Progress,Low,19,Medium,Low
Office Renovation,To Do,Low,19,Medium,Low
Transfer of Technology (TOT),Completed,High,29,High,Low
Customer Relationship Management (CRM),To Do,Medium,12,Medium,Medium
Data Management and Storage,In Progress,Medium,29,High,Low
Data Services & Management,To Do,Low,16,Medium,Low
Contract Documentation,To Do,Low,30,High,Low
Portal,Completed,Low,8,Low,Low
Workflow Management,To Do,Medium,3,Low,Medium
Portal,In Progress,High,23,High,Medium
Data Services & Management,In Progress,High,8,Low,High
Inventory Management,Completed,High,10,Medium,Low
Data Services & Management,In Progress,Low,17,Medium,Low
Office Renovation,To Do,Low,19,Medium,Low
Communication and Collaboration Tools,Completed,Medium,23,High,Low
Customer Relationship Management (CRM),Completed,Low,26,High,Low
Transfer of Technology (TOT),Completed,Medium,10,Medium,Low
User Interface and User Experience (UI/UX),Completed,Medium,15,Medium,Low
Notification System,Completed,Low,10,Medium,Low
Audit and Compliance,To Do,High,1,Low,High
Enterprise Architecture (EA),In Progress,Medium,16,Medium,Medium
Certificate of Acceptance (CoA),To Do,Low,16,Medium,High
Certificate of Acceptance (CoA),Completed,High,21,High,Low
Project Closure Report,In Progress,Medium,26,High,Low
Portal Learning Management System (LMS),Completed,High,17,Medium,Low
Enterprise Architecture (EA),In Progress,Medium,7,Low,Low
Project Closure Report,To Do,Medium,15,Medium,Medium
Payment Gateway Integration,Completed,Low,9,Low,Low
Project Closure Report,To Do,Low,18,Medium,Low
Transfer of Knowledge (TOK),In Progress,Medium,14,Medium,Medium
User Authentication and Access Control,In Progress,Low,14,Medium,Medium
Data Management and Storage,Completed,High,9,Low,Low
Audit and Compliance,In Progress,Medium,29,High,Low
Contract Documentation,In Progress,Medium,3,Low,Low
Finalization and Integration,Completed,Medium,21,High,Low
Audit and Compliance,In Progress,Low,1,Low,Low
Portal,Completed,Medium,25,High,Low
Management Plans,To Do,High,23,High,Medium
Office Renovation,In Progress,Low,12,Medium,Low
Transfer of Knowledge (TOK),Completed,Medium,29,High,Low
User Interface and User Experience (UI/UX),To Do,High,8,Low,High
Change Management,Completed,High,19,Medium,Low
Communication and Collaboration Tools,In Progress,High,28,High,Low
Inventory Management,To Do,Low,16,Medium,Low
Business Continuity Plan (BCP),Completed,Low,28,High,Low
Customer Relationship Management (CRM),Completed,High,23,High,Low
Finalization and Integration,In Progress,High,20,High,High
Notification System,Completed,High,14,Medium,Low
Training Management,To Do,High,4,Low,High
Human Resource Management (HRM),Completed,High,2,Low,Low
Project Management,To Do,Medium,1,Low,High
Inventory Management,Completed,Medium,20,High,Low
Management Plans,To Do,Medium,10,Medium,Medium
Customer Relationship Management (CRM),To Do,Medium,3,Low,High
Project Closure Report,In Progress,High,9,Low,High
Audit and Compliance,In Progress,Medium,15,Medium,Medium
Workflow Management,Completed,Low,27,High,Low
Project Management,Completed,Medium,13,Medium,Low
Portal Learning Management System (LMS),Completed,Medium,8,Low,Low
Audit and Compliance,In Progress,Medium,14,Medium,Medium
Data Services & Management,In Progress,Low,24,High,High
Data Management and Storage,In Progress,Medium,6,Low,Low
Reporting and Analytics,In Progress,Medium,3,Low,High
Transfer of Knowledge (TOK),In Progress,Low,9,Low,Low
Customer Relationship Management (CRM),Completed,Low,27,High,Low
Portal Learning Management System (LMS),To Do,High,22,High,Low
Management Plans,Completed,Low,4,Low,Low
Data Lake & Data Warehouse Operation,Completed,Medium,30,High,Low
Business Continuity Plan (BCP),Completed,Medium,6,Low,Low
Management Plans,Completed,Low,23,High,Low
Data Management and Storage,Completed,Medium,21,High,Low
Contract Documentation,To Do,Medium,14,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,Medium,21,High,High
Transfer of Knowledge (TOK),In Progress,Low,23,High,Medium
Business Continuity Plan (BCP),To Do,High,22,High,Low
Data Lake & Data Warehouse Operation,To Do,Medium,28,High,High
DevOps,To Do,Low,6,Low,Medium
Project Management Information System (PMIS),Completed,Medium,8,Low,Low
Change Management,Completed,Medium,29,High,Low
Training Management,Completed,Medium,8,Low,Low
Reporting and Analytics,In Progress,Medium,21,High,High
Audit and Compliance,In Progress,High,2,Low,High
Workflow Management,Completed,High,23,High,Low
Workflow Management,In Progress,High,8,Low,High
Portal,In Progress,Low,2,Low,High
Portal Learning Management System (LMS),To Do,Medium,3,Low,Low
DevOps,To Do,High,5,Low,High
Change Management,In Progress,Medium,16,Medium,Medium
Portal,In Progress,High,28,High,High
Training Management,Completed,Low,29,High,Low
Portal Learning Management System (LMS),Completed,High,26,High,Low
User Authentication and Access Control,In Progress,Low,5,Low,Low
Transfer of Knowledge (TOK),In Progress,High,21,High,Low
Business Continuity Plan (BCP),In Progress,Medium,19,Medium,Medium
Inventory Management,In Progress,Medium,27,High,Medium
Reporting and Analytics,To Do,High,14,Medium,High
Monitoring & Control Reports,To Do,Medium,18,Medium,Medium
Management Plans,To Do,High,8,Low,High
User Interface and User Experience (UI/UX),In Progress,High,7,Low,High
Training Management,Completed,Low,21,High,Low
Management Plans,In Progress,Low,9,Low,High
Business Continuity Plan (BCP),To Do,High,1,Low,High
Project Management Information System (PMIS),To Do,Low,1,Low,Low
Management Plans,In Progress,Medium,17,Medium,Medium
Training Management,To Do,High,21,High,Low
Training Management,In Progress,Medium,21,High,Low
Project Management,In Progress,High,19,Medium,Medium
Transfer of Knowledge (TOK),To Do,Low,2,Low,High
Finalization and Integration,To Do,Medium,8,Low,Medium
Data Management and Storage,Completed,High,28,High,Low
User Authentication and Access Control,To Do,Medium,11,Medium,Medium
Certificate of Acceptance (CoA),Completed,High,22,High,Low
