Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class
Transfer of Technology (TOT),Completed,Low,16,Medium
Enterprise Architecture (EA),To Do,High,5,Low
Project Management,To Do,High,20,High
Data Lake & Data Warehouse Operation,Completed,Low,14,Medium
Management Plans,Completed,Low,9,Low
Monitoring & Control Reports,In Progress,Medium,17,Medium
User Interface and User Experience (UI/UX),Completed,High,18,Medium
Reporting and Analytics,In Progress,High,11,Medium
Data Management and Storage,To Do,Medium,30,High
Customer Relationship Management (CRM),In Progress,Medium,12,Medium
Human Resource Management (HRM),Completed,High,30,High
Notification System,In Progress,Medium,6,Low
Change Management,Completed,Low,21,High
Office Renovation,In Progress,High,29,High
Management Plans,To Do,High,29,High
Project Closure Report,To Do,High,24,High
User Authentication and Access Control,To Do,Medium,21,High
User Authentication and Access Control,To Do,Low,7,Low
Customer Relationship Management (CRM),To Do,High,3,Low
Inventory Management,Completed,High,24,High
Project Management Information System (PMIS),Completed,High,4,Low
User Authentication and Access Control,Completed,Medium,10,Medium
Office Renovation,In Progress,Low,1,Low
Management Plans,In Progress,Medium,24,High
Human Resource Management (HRM),Completed,High,26,High
Office Renovation,In Progress,Low,25,High
Reporting and Analytics,In Progress,High,16,Medium
Portal,In Progress,High,10,Medium
Project Management,In Progress,High,12,Medium
Project Management,To Do,Low,12,Medium
Project Management Information System (PMIS),In Progress,High,22,High
Project Management,Completed,Medium,7,Low
Audit and Compliance,To Do,High,28,High
Human Resource Management (HRM),In Progress,Low,8,Low
Contract Documentation,To Do,High,20,High
Portal Learning Management System (LMS),In Progress,Low,5,Low
Contract Documentation,In Progress,Medium,13,Medium
Finalization and Integration,Completed,Medium,28,High
Data Services & Management,To Do,High,19,Medium
Certificate of Acceptance (CoA),In Progress,Low,1,Low
Communication and Collaboration Tools,Completed,Low,26,High
Training Management,In Progress,Low,12,Medium
Change Management,Completed,Low,6,Low
Audit and Compliance,In Progress,High,9,Low
Reporting and Analytics,To Do,High,24,High
Customer Relationship Management (CRM),To Do,Medium,22,High
Monitoring & Control Reports,In Progress,High,26,High
DevOps,Completed,High,10,Medium
Data Management and Storage,To Do,Low,26,High
Project Closure Report,Completed,Low,28,High
Portal Learning Management System (LMS),To Do,Low,19,Medium
Project Management,Completed,Low,14,Medium
Monitoring & Control Reports,In Progress,Medium,10,Medium
Monitoring & Control Reports,Completed,High,4,Low
Audit and Compliance,Completed,Medium,3,Low
Training Management,In Progress,Medium,30,High
Finalization and Integration,In Progress,Medium,15,Medium
Communication and Collaboration Tools,Completed,Medium,29,High
Change Management,In Progress,Medium,19,Medium
Notification System,To Do,Medium,29,High
Office Renovation,In Progress,High,24,High
Reporting and Analytics,To Do,Medium,20,High
Contract Documentation,Completed,Medium,30,High
Communication and Collaboration Tools,Completed,Medium,17,Medium
Training Management,To Do,High,2,Low
Training Management,In Progress,Medium,24,High
Project Closure Report,To Do,Medium,16,Medium
Audit and Compliance,Completed,Medium,10,Medium
Project Management,Completed,Low,27,High
Inventory Management,Completed,High,13,Medium
DevOps,Completed,High,23,High
Office Renovation,Completed,High,23,High
Human Resource Management (HRM),Completed,Low,21,High
Project Closure Report,In Progress,Low,23,High
Reporting and Analytics,To Do,High,26,High
Change Management,In Progress,Medium,3,Low
Audit and Compliance,Completed,Low,28,High
Transfer of Knowledge (TOK),Completed,Medium,22,High
Customer Relationship Management (CRM),To Do,High,21,High
Customer Relationship Management (CRM),In Progress,Low,15,Medium
Business Continuity Plan (BCP),To Do,Low,13,Medium
Transfer of Technology (TOT),Completed,High,26,High
Enterprise Architecture (EA),Completed,High,23,High
Office Renovation,In Progress,Low,22,High
Transfer of Technology (TOT),Completed,Low,15,Medium
Reporting and Analytics,In Progress,Low,3,Low
Enterprise Architecture (EA),Completed,Medium,14,Medium
Portal Learning Management System (LMS),In Progress,High,29,High
Workflow Management,To Do,High,28,High
Customer Relationship Management (CRM),In Progress,Medium,4,Low
Project Management Information System (PMIS),To Do,Low,26,High
Training Management,In Progress,Medium,4,Low
Workflow Management,In Progress,High,17,Medium
Contract Documentation,Completed,Medium,8,Low
Notification System,In Progress,High,5,Low
Data Services & Management,In Progress,Medium,1,Low
Project Closure Report,In Progress,Low,29,High
Certificate of Acceptance (CoA),In Progress,High,30,High
DevOps,In Progress,Low,11,Medium
Project Closure Report,To Do,High,18,Medium
Human Resource Management (HRM),To Do,High,13,Medium
Transfer of Technology (TOT),Completed,Medium,9,Low
Finalization and Integration,In Progress,High,27,High
Communication and Collaboration Tools,To Do,Low,9,Low
User Authentication and Access Control,Completed,High,11,Medium
Customer Relationship Management (CRM),In Progress,High,13,Medium
Notification System,To Do,Low,6,Low
Portal Learning Management System (LMS),Completed,High,22,High
Monitoring & Control Reports,Completed,Low,16,Medium
Project Management Information System (PMIS),In Progress,Low,27,High
Training Management,To Do,High,6,Low
DevOps,Completed,Low,16,Medium
Enterprise Architecture (EA),To Do,Low,27,High
Enterprise Architecture (EA),To Do,Medium,28,High
Notification System,Completed,Low,28,High
Management Plans,In Progress,High,20,High
Management Plans,Completed,High,5,Low
Business Continuity Plan (BCP),To Do,Medium,14,Medium
Monitoring & Control Reports,To Do,High,23,High
Data Services & Management,In Progress,Low,12,Medium
Business Continuity Plan (BCP),Completed,High,2,Low
Human Resource Management (HRM),In Progress,High,19,Medium
Reporting and Analytics,In Progress,High,12,Medium
Workflow Management,Completed,High,27,High
Inventory Management,In Progress,Medium,14,Medium
Transfer of Technology (TOT),Completed,Medium,7,Low
Enterprise Architecture (EA),In Progress,Low,6,Low
Payment Gateway Integration,In Progress,Low,8,Low
Human Resource Management (HRM),In Progress,Medium,6,Low
Human Resource Management (HRM),Completed,Medium,27,High
Notification System,In Progress,Medium,21,High
Human Resource Management (HRM),To Do,Medium,6,Low
Monitoring & Control Reports,In Progress,Low,6,Low
Contract Documentation,In Progress,High,27,High
Management Plans,In Progress,Medium,18,Medium
Contract Documentation,Completed,Low,9,Low
Portal,To Do,Medium,19,Medium
DevOps,Completed,Medium,7,Low
Inventory Management,In Progress,Medium,13,Medium
Training Management,In Progress,Low,20,High
Reporting and Analytics,In Progress,High,25,High
Project Management,To Do,Low,12,Medium
Portal Learning Management System (LMS),To Do,High,9,Low
Transfer of Knowledge (TOK),To Do,Medium,17,Medium
Transfer of Knowledge (TOK),Completed,Medium,21,High
Enterprise Architecture (EA),In Progress,Low,7,Low
Workflow Management,In Progress,High,28,High
Inventory Management,Completed,Medium,13,Medium
Transfer of Technology (TOT),Completed,Low,17,Medium
Project Management,Completed,High,9,Low
Customer Relationship Management (CRM),In Progress,High,21,High
Monitoring & Control Reports,To Do,Low,20,High
Monitoring & Control Reports,In Progress,Medium,21,High
DevOps,To Do,Low,14,Medium
DevOps,To Do,High,26,High
Data Services & Management,In Progress,Medium,15,Medium
Certificate of Acceptance (CoA),Completed,Low,14,Medium
Notification System,Completed,Low,28,High
Human Resource Management (HRM),In Progress,Low,16,Medium
Audit and Compliance,To Do,Medium,12,Medium
Inventory Management,Completed,Low,13,Medium
Portal Learning Management System (LMS),In Progress,Medium,21,High
Workflow Management,In Progress,High,21,High
Project Closure Report,In Progress,High,30,High
Payment Gateway Integration,In Progress,Medium,16,Medium
Communication and Collaboration Tools,To Do,Medium,10,Medium
Contract Documentation,To Do,High,2,Low
Office Renovation,In Progress,High,25,High
Project Management,Completed,Medium,29,High
User Authentication and Access Control,In Progress,High,29,High
Payment Gateway Integration,In Progress,High,28,High
Data Management and Storage,To Do,Low,11,Medium
Project Closure Report,To Do,High,26,High
Project Management Information System (PMIS),To Do,Medium,18,Medium
Payment Gateway Integration,To Do,Medium,24,High
Change Management,Completed,High,7,Low
Portal,In Progress,Medium,14,Medium
Contract Documentation,To Do,High,6,Low
Training Management,To Do,High,9,Low
Data Management and Storage,Completed,Medium,25,High
Transfer of Technology (TOT),In Progress,High,28,High
Office Renovation,In Progress,Low,13,Medium
Portal Learning Management System (LMS),In Progress,High,25,High
Data Management and Storage,To Do,Medium,4,Low
Certificate of Acceptance (CoA),Completed,Medium,27,High
Data Lake & Data Warehouse Operation,To Do,Medium,2,Low
DevOps,In Progress,Medium,14,Medium
Enterprise Architecture (EA),Completed,Medium,13,Medium
Certificate of Acceptance (CoA),In Progress,Low,29,High
Project Management Information System (PMIS),Completed,Low,15,Medium
Office Renovation,In Progress,Medium,27,High
Office Renovation,Completed,High,8,Low
Enterprise Architecture (EA),To Do,Medium,7,Low
User Authentication and Access Control,In Progress,Low,22,High
Payment Gateway Integration,In Progress,High,26,High
Communication and Collaboration Tools,Completed,High,24,High
Project Management,In Progress,Low,11,Medium
User Authentication and Access Control,To Do,Low,26,High
Customer Relationship Management (CRM),To Do,High,7,Low
Finalization and Integration,Completed,High,7,Low
Communication and Collaboration Tools,In Progress,Medium,25,High
Reporting and Analytics,Completed,Medium,16,Medium
Human Resource Management (HRM),To Do,High,29,High
Inventory Management,In Progress,Low,18,Medium
Monitoring & Control Reports,Completed,Medium,12,Medium
Communication and Collaboration Tools,Completed,Medium,12,Medium
Contract Documentation,To Do,Medium,19,Medium
Inventory Management,Completed,High,13,Medium
User Interface and User Experience (UI/UX),To Do,High,24,High
Payment Gateway Integration,In Progress,High,26,High
Contract Documentation,In Progress,Low,10,Medium
Finalization and Integration,Completed,High,10,Medium
Reporting and Analytics,To Do,Low,28,High
Payment Gateway Integration,To Do,Medium,22,High
Notification System,In Progress,High,8,Low
Monitoring & Control Reports,To Do,High,18,Medium
Enterprise Architecture (EA),In Progress,Low,28,High
Communication and Collaboration Tools,To Do,Low,23,High
Human Resource Management (HRM),Completed,Low,21,High
Inventory Management,Completed,Low,29,High
Business Continuity Plan (BCP),To Do,Low,8,Low
Transfer of Technology (TOT),In Progress,Medium,16,Medium
Portal,In Progress,Low,6,Low
Certificate of Acceptance (CoA),Completed,Medium,7,Low
Transfer of Knowledge (TOK),Completed,Medium,24,High
DevOps,Completed,Medium,9,Low
Project Management,Completed,Low,2,Low
Finalization and Integration,Completed,High,12,Medium
Finalization and Integration,To Do,Low,24,High
Change Management,In Progress,Medium,19,Medium
Payment Gateway Integration,To Do,High,29,High
User Authentication and Access Control,Completed,High,24,High
Data Services & Management,Completed,High,24,High
User Authentication and Access Control,In Progress,High,27,High
Project Management,In Progress,Low,26,High
Change Management,Completed,Medium,17,Medium
Customer Relationship Management (CRM),In Progress,High,12,Medium
User Authentication and Access Control,In Progress,High,7,Low
Finalization and Integration,In Progress,Low,23,High
Enterprise Architecture (EA),In Progress,Medium,3,Low
Portal Learning Management System (LMS),To Do,Low,29,High
Transfer of Knowledge (TOK),Completed,Low,13,Medium
Reporting and Analytics,Completed,Low,6,Low
Training Management,Completed,High,2,Low
Training Management,In Progress,High,4,Low
Transfer of Technology (TOT),To Do,Medium,10,Medium
User Authentication and Access Control,Completed,High,3,Low
Workflow Management,In Progress,Medium,24,High
Change Management,To Do,High,15,Medium
Management Plans,In Progress,High,14,Medium
Data Lake & Data Warehouse Operation,Completed,Low,18,Medium
Project Management Information System (PMIS),In Progress,Low,12,Medium
Inventory Management,Completed,Low,5,Low
Transfer of Technology (TOT),Completed,Medium,9,Low
Enterprise Architecture (EA),To Do,High,23,High
Certificate of Acceptance (CoA),To Do,Medium,7,Low
Payment Gateway Integration,In Progress,High,13,Medium
Transfer of Technology (TOT),To Do,Low,24,High
Portal Learning Management System (LMS),In Progress,Low,7,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,11,Medium
Contract Documentation,To Do,Low,23,High
Transfer of Knowledge (TOK),In Progress,High,28,High
Contract Documentation,In Progress,Medium,9,Low
Workflow Management,Completed,High,30,High
Certificate of Acceptance (CoA),Completed,High,22,High
Communication and Collaboration Tools,To Do,Medium,12,Medium
Change Management,To Do,Low,30,High
Payment Gateway Integration,To Do,Medium,29,High
Transfer of Technology (TOT),Completed,Low,27,High
Reporting and Analytics,In Progress,Low,27,High
User Authentication and Access Control,To Do,High,24,High
Change Management,Completed,Medium,14,Medium
Project Closure Report,To Do,Low,11,Medium
Project Management,Completed,Low,13,Medium
Monitoring & Control Reports,In Progress,High,8,Low
Portal,To Do,High,5,Low
Audit and Compliance,Completed,High,11,Medium
Data Lake & Data Warehouse Operation,To Do,Medium,28,High
Finalization and Integration,In Progress,High,6,Low
Customer Relationship Management (CRM),In Progress,High,12,Medium
Data Services & Management,In Progress,High,28,High
