Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Human Resource Management (HRM),In Progress,Medium,4,Low,Medium
Monitoring & Control Reports,Completed,Medium,21,High,High
Reporting and Analytics,In Progress,Medium,24,High,Medium
User Interface and User Experience (UI/UX),To Do,Low,9,Low,Medium
Certificate of Acceptance (CoA),In Progress,High,2,Low,Low
Communication and Collaboration Tools,To Do,Low,25,High,Medium
Certificate of Acceptance (CoA),To Do,Low,15,Medium,Low
Monitoring & Control Reports,To Do,High,15,Medium,Medium
Monitoring & Control Reports,Completed,Low,9,Low,Low
Data Management and Storage,Completed,Low,24,High,Low
Data Management and Storage,Completed,Low,20,High,Low
Inventory Management,To Do,Medium,5,Low,Medium
Audit and Compliance,Completed,High,27,High,Low
Transfer of Technology (TOT),In Progress,High,19,Medium,Medium
Data Services & Management,Completed,Medium,14,Medium,Low
Transfer of Technology (TOT),In Progress,High,4,Low,Medium
Notification System,In Progress,High,1,Low,Low
Training Management,In Progress,Low,7,Low,Low
Portal Learning Management System (LMS),In Progress,Low,7,Low,Low
Project Management,Completed,Low,9,Low,Low
User Interface and User Experience (UI/UX),Completed,High,19,Medium,Medium
Customer Relationship Management (CRM),Completed,Low,6,Low,Low
Notification System,To Do,High,12,Medium,Low
Portal Learning Management System (LMS),In Progress,Low,13,Medium,Medium
Reporting and Analytics,To Do,High,21,High,Medium
Data Management and Storage,To Do,High,7,Low,Medium
Data Management and Storage,Completed,Low,19,Medium,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,1,Low,Medium
Inventory Management,In Progress,Low,21,High,Medium
Management Plans,To Do,High,14,Medium,Low
Monitoring & Control Reports,In Progress,Low,30,High,Medium
Reporting and Analytics,Completed,High,19,Medium,Low
Transfer of Knowledge (TOK),To Do,Low,13,Medium,Low
Transfer of Knowledge (TOK),To Do,Low,1,Low,Low
Notification System,To Do,High,20,High,Medium
Project Management Information System (PMIS),In Progress,Low,17,Medium,Medium
Business Continuity Plan (BCP),Completed,Low,9,Low,Low
Finalization and Integration,To Do,High,18,Medium,Medium
Transfer of Technology (TOT),In Progress,Medium,11,Medium,Medium
Enterprise Architecture (EA),In Progress,Low,22,High,Low
Monitoring & Control Reports,In Progress,Medium,7,Low,Medium
Reporting and Analytics,In Progress,High,9,Low,Medium
Audit and Compliance,Completed,High,30,High,Low
Business Continuity Plan (BCP),In Progress,High,20,High,Medium
Management Plans,In Progress,Low,1,Low,Low
Office Renovation,In Progress,Low,21,High,Low
Transfer of Knowledge (TOK),To Do,Medium,4,Low,Low
Transfer of Knowledge (TOK),Completed,High,5,Low,Low
Workflow Management,Completed,High,11,Medium,Low
Contract Documentation,In Progress,Low,17,Medium,Low
Data Services & Management,To Do,Medium,3,Low,Medium
Business Continuity Plan (BCP),Completed,Low,23,High,Low
Contract Documentation,In Progress,Low,12,Medium,Low
Human Resource Management (HRM),In Progress,Low,12,Medium,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,1,Low,Medium
Management Plans,Completed,Low,28,High,Low
Data Services & Management,Completed,High,10,Medium,Low
Data Services & Management,To Do,Medium,28,High,Medium
Finalization and Integration,To Do,Medium,7,Low,Medium
Data Services & Management,In Progress,High,22,High,High
Data Services & Management,In Progress,Medium,17,Medium,Medium
Project Management,In Progress,Low,7,Low,Low
Audit and Compliance,In Progress,High,7,Low,Medium
Data Services & Management,In Progress,Low,16,Medium,Medium
Enterprise Architecture (EA),To Do,High,18,Medium,Low
Notification System,Completed,Low,22,High,Low
Transfer of Knowledge (TOK),In Progress,Medium,4,Low,Medium
Monitoring & Control Reports,To Do,High,17,Medium,Medium
Finalization and Integration,To Do,High,26,High,High
Business Continuity Plan (BCP),In Progress,Medium,30,High,Medium
Management Plans,To Do,Medium,21,High,Low
Training Management,In Progress,Medium,2,Low,Medium
Customer Relationship Management (CRM),To Do,High,11,Medium,Medium
Business Continuity Plan (BCP),To Do,Medium,30,High,Medium
Management Plans,Completed,High,17,Medium,Low
User Interface and User Experience (UI/UX),To Do,Medium,21,High,Medium
Data Services & Management,Completed,Medium,1,Low,Low
Portal,Completed,Medium,26,High,Low
Audit and Compliance,To Do,Low,25,High,Low
Data Services & Management,To Do,High,23,High,High
Data Services & Management,Completed,Low,22,High,Low
Monitoring & Control Reports,In Progress,High,30,High,High
Project Management,To Do,Medium,10,Medium,Medium
Transfer of Technology (TOT),Completed,Low,16,Medium,Low
Enterprise Architecture (EA),To Do,High,5,Low,Low
Project Management,To Do,High,20,High,Medium
Data Lake & Data Warehouse Operation,Completed,Low,14,Medium,Medium
Management Plans,Completed,Low,9,Low,Low
Monitoring & Control Reports,In Progress,Medium,17,Medium,Medium
User Interface and User Experience (UI/UX),Completed,High,18,Medium,Medium
Reporting and Analytics,In Progress,High,11,Medium,Medium
Data Management and Storage,To Do,Medium,30,High,Medium
Customer Relationship Management (CRM),In Progress,Medium,12,Medium,High
Human Resource Management (HRM),Completed,High,30,High,Medium
Notification System,In Progress,Medium,6,Low,Low
Change Management,Completed,Low,21,High,Low
Office Renovation,In Progress,High,29,High,Medium
Management Plans,To Do,High,29,High,Medium
Project Closure Report,To Do,High,24,High,Medium
User Authentication and Access Control,To Do,Medium,21,High,Medium
User Authentication and Access Control,To Do,Low,7,Low,Low
Customer Relationship Management (CRM),To Do,High,3,Low,Medium
Inventory Management,Completed,High,24,High,Medium
Project Management Information System (PMIS),Completed,High,4,Low,Low
User Authentication and Access Control,Completed,Medium,10,Medium,Medium
Office Renovation,In Progress,Low,1,Low,Low
Management Plans,In Progress,Medium,24,High,Low
Human Resource Management (HRM),Completed,High,26,High,Medium
Office Renovation,In Progress,Low,25,High,Low
Reporting and Analytics,In Progress,High,16,Medium,Medium
Portal,In Progress,High,10,Medium,Medium
Project Management,In Progress,High,12,Medium,Medium
Project Management,To Do,Low,12,Medium,Medium
Project Management Information System (PMIS),In Progress,High,22,High,High
Project Management,Completed,Medium,7,Low,Low
Audit and Compliance,To Do,High,28,High,Low
Human Resource Management (HRM),In Progress,Low,8,Low,Medium
Contract Documentation,To Do,High,20,High,Low
Portal Learning Management System (LMS),In Progress,Low,5,Low,Low
Contract Documentation,In Progress,Medium,13,Medium,Low
Finalization and Integration,Completed,Medium,28,High,Low
Data Services & Management,To Do,High,19,Medium,Medium
Certificate of Acceptance (CoA),In Progress,Low,1,Low,Low
Communication and Collaboration Tools,Completed,Low,26,High,Medium
Training Management,In Progress,Low,12,Medium,Medium
Change Management,Completed,Low,6,Low,Low
Audit and Compliance,In Progress,High,9,Low,Medium
Reporting and Analytics,To Do,High,24,High,Medium
Customer Relationship Management (CRM),To Do,Medium,22,High,Medium
Monitoring & Control Reports,In Progress,High,26,High,High
DevOps,Completed,High,10,Medium,Low
Data Management and Storage,To Do,Low,26,High,Medium
Project Closure Report,Completed,Low,28,High,Low
Portal Learning Management System (LMS),To Do,Low,19,Medium,Medium
Project Management,Completed,Low,14,Medium,Low
Monitoring & Control Reports,In Progress,Medium,10,Medium,Medium
Monitoring & Control Reports,Completed,High,4,Low,High
Audit and Compliance,Completed,Medium,3,Low,Low
Training Management,In Progress,Medium,30,High,Medium
Finalization and Integration,In Progress,Medium,15,Medium,Medium
Communication and Collaboration Tools,Completed,Medium,29,High,Medium
Change Management,In Progress,Medium,19,Medium,Low
Notification System,To Do,Medium,29,High,Low
Office Renovation,In Progress,High,24,High,Medium
Reporting and Analytics,To Do,Medium,20,High,Medium
Contract Documentation,Completed,Medium,30,High,Low
Communication and Collaboration Tools,Completed,Medium,17,Medium,Low
Training Management,To Do,High,2,Low,Low
Training Management,In Progress,Medium,24,High,Medium
Project Closure Report,To Do,Medium,16,Medium,Low
Audit and Compliance,Completed,Medium,10,Medium,Low
Project Management,Completed,Low,27,High,Low
Inventory Management,Completed,High,13,Medium,Low
DevOps,Completed,High,23,High,Medium
Office Renovation,Completed,High,23,High,Low
Human Resource Management (HRM),Completed,Low,21,High,Low
Project Closure Report,In Progress,Low,23,High,Low
Reporting and Analytics,To Do,High,26,High,Medium
Change Management,In Progress,Medium,3,Low,Low
Audit and Compliance,Completed,Low,28,High,Low
Transfer of Knowledge (TOK),Completed,Medium,22,High,Low
Customer Relationship Management (CRM),To Do,High,21,High,High
Customer Relationship Management (CRM),In Progress,Low,15,Medium,High
Business Continuity Plan (BCP),To Do,Low,13,Medium,Medium
Transfer of Technology (TOT),Completed,High,26,High,Low
Enterprise Architecture (EA),Completed,High,23,High,Low
Office Renovation,In Progress,Low,22,High,Low
Transfer of Technology (TOT),Completed,Low,15,Medium,Low
Reporting and Analytics,In Progress,Low,3,Low,Low
Enterprise Architecture (EA),Completed,Medium,14,Medium,Low
Portal Learning Management System (LMS),In Progress,High,29,High,High
Workflow Management,To Do,High,28,High,High
Customer Relationship Management (CRM),In Progress,Medium,4,Low,Medium
Project Management Information System (PMIS),To Do,Low,26,High,Medium
Training Management,In Progress,Medium,4,Low,Medium
Workflow Management,In Progress,High,17,Medium,Medium
Contract Documentation,Completed,Medium,8,Low,Low
Notification System,In Progress,High,5,Low,Low
Data Services & Management,In Progress,Medium,1,Low,Medium
Project Closure Report,In Progress,Low,29,High,Low
Certificate of Acceptance (CoA),In Progress,High,30,High,Medium
DevOps,In Progress,Low,11,Medium,Medium
Project Closure Report,To Do,High,18,Medium,Low
Human Resource Management (HRM),To Do,High,13,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,9,Low,Low
Finalization and Integration,In Progress,High,27,High,High
Communication and Collaboration Tools,To Do,Low,9,Low,Medium
User Authentication and Access Control,Completed,High,11,Medium,Medium
Customer Relationship Management (CRM),In Progress,High,13,Medium,High
Notification System,To Do,Low,6,Low,Low
Portal Learning Management System (LMS),Completed,High,22,High,Medium
Monitoring & Control Reports,Completed,Low,16,Medium,Low
Project Management Information System (PMIS),In Progress,Low,27,High,Medium
Training Management,To Do,High,6,Low,Low
DevOps,Completed,Low,16,Medium,Low
Enterprise Architecture (EA),To Do,Low,27,High,Low
Enterprise Architecture (EA),To Do,Medium,28,High,Low
Notification System,Completed,Low,28,High,Low
Management Plans,In Progress,High,20,High,Medium
Management Plans,Completed,High,5,Low,Low
Business Continuity Plan (BCP),To Do,Medium,14,Medium,Medium
Monitoring & Control Reports,To Do,High,23,High,High
Data Services & Management,In Progress,Low,12,Medium,Medium
Business Continuity Plan (BCP),Completed,High,2,Low,Low
Human Resource Management (HRM),In Progress,High,19,Medium,Medium
Reporting and Analytics,In Progress,High,12,Medium,Medium
Workflow Management,Completed,High,27,High,Medium
Inventory Management,In Progress,Medium,14,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,7,Low,Low
Enterprise Architecture (EA),In Progress,Low,6,Low,Low
Payment Gateway Integration,In Progress,Low,8,Low,Medium
Human Resource Management (HRM),In Progress,Medium,6,Low,Medium
Human Resource Management (HRM),Completed,Medium,27,High,Low
Notification System,In Progress,Medium,21,High,Low
Human Resource Management (HRM),To Do,Medium,6,Low,Medium
Monitoring & Control Reports,In Progress,Low,6,Low,Low
Contract Documentation,In Progress,High,27,High,Medium
Management Plans,In Progress,Medium,18,Medium,Low
Contract Documentation,Completed,Low,9,Low,Low
Portal,To Do,Medium,19,Medium,Medium
DevOps,Completed,Medium,7,Low,Low
Inventory Management,In Progress,Medium,13,Medium,Medium
Training Management,In Progress,Low,20,High,Medium
Reporting and Analytics,In Progress,High,25,High,High
Project Management,To Do,Low,12,Medium,Medium
Portal Learning Management System (LMS),To Do,High,9,Low,Medium
Transfer of Knowledge (TOK),To Do,Medium,17,Medium,Low
Transfer of Knowledge (TOK),Completed,Medium,21,High,Low
Enterprise Architecture (EA),In Progress,Low,7,Low,Low
Workflow Management,In Progress,High,28,High,High
Inventory Management,Completed,Medium,13,Medium,Low
Transfer of Technology (TOT),Completed,Low,17,Medium,Low
Project Management,Completed,High,9,Low,Low
Customer Relationship Management (CRM),In Progress,High,21,High,High
Monitoring & Control Reports,To Do,Low,20,High,Medium
Monitoring & Control Reports,In Progress,Medium,21,High,Medium
DevOps,To Do,Low,14,Medium,Medium
DevOps,To Do,High,26,High,High
Data Services & Management,In Progress,Medium,15,Medium,Medium
Certificate of Acceptance (CoA),Completed,Low,14,Medium,Low
Notification System,Completed,Low,28,High,Low
Human Resource Management (HRM),In Progress,Low,16,Medium,Medium
Audit and Compliance,To Do,Medium,12,Medium,Low
Inventory Management,Completed,Low,13,Medium,Low
Portal Learning Management System (LMS),In Progress,Medium,21,High,Medium
Workflow Management,In Progress,High,21,High,High
Project Closure Report,In Progress,High,30,High,Medium
Payment Gateway Integration,In Progress,Medium,16,Medium,Medium
Communication and Collaboration Tools,To Do,Medium,10,Medium,Medium
Contract Documentation,To Do,High,2,Low,Low
Office Renovation,In Progress,High,25,High,Medium
Project Management,Completed,Medium,29,High,Low
User Authentication and Access Control,In Progress,High,29,High,High
Payment Gateway Integration,In Progress,High,28,High,High
Data Management and Storage,To Do,Low,11,Medium,Medium
Project Closure Report,To Do,High,26,High,Medium
Project Management Information System (PMIS),To Do,Medium,18,Medium,Medium
Payment Gateway Integration,To Do,Medium,24,High,Medium
Change Management,Completed,High,7,Low,Low
Portal,In Progress,Medium,14,Medium,Medium
Contract Documentation,To Do,High,6,Low,Low
Training Management,To Do,High,9,Low,Low
Data Management and Storage,Completed,Medium,25,High,Low
Transfer of Technology (TOT),In Progress,High,28,High,Medium
Office Renovation,In Progress,Low,13,Medium,Low
Portal Learning Management System (LMS),In Progress,High,25,High,High
Data Management and Storage,To Do,Medium,4,Low,Medium
Certificate of Acceptance (CoA),Completed,Medium,27,High,Low
Data Lake & Data Warehouse Operation,To Do,Medium,2,Low,Medium
DevOps,In Progress,Medium,14,Medium,Medium
Enterprise Architecture (EA),Completed,Medium,13,Medium,Low
Certificate of Acceptance (CoA),In Progress,Low,29,High,Medium
Project Management Information System (PMIS),Completed,Low,15,Medium,Low
Office Renovation,In Progress,Medium,27,High,Low
Office Renovation,Completed,High,8,Low,Low
Enterprise Architecture (EA),To Do,Medium,7,Low,Low
